year,category,film,nominee,won
1929,Actor in a Leading Role,The Last Command,Emil Jannings,1
1929,Actor in a Leading Role,The Way of All Flesh,Emil Jannings,1
1929,Actor in a Leading Role,The Noose,Richard Barthelmess,0
1929,Actor in a Leading Role,The Patent Leather Kid,Richard Barthelmess,0
1929,Actress in a Leading Role,7th Heaven,Janet Gaynor,1
1929,Actress in a Leading Role,Street Angel,Janet Gaynor,1
1929,Actress in a Leading Role,Sunrise,Janet Gaynor,1
1929,Actress in a Leading Role,A Ship Comes In,Louise Dresser,0
1929,Actress in a Leading Role,Sadie Thompson,Gloria Swanson,0
1929,Art Direction,Tempest,William Cameron Menzies,1
1929,Art Direction,The Dove,William Cameron Menzies,1
1929,Art Direction,7th Heaven,Harry Oliver,0
1929,Art Direction,Sunrise,Rochus Gliese,0
1929,Best Picture,Sunrise,Fox,1
1929,Best Picture,Wings,Paramount Famous Lasky,1
1929,Best Picture,7th Heaven,Fox,0
1929,Best Picture,Chang,Paramount Famous Lasky,0
1929,Best Picture,The Crowd,Metro-Goldwyn-Mayer,0
1929,Best Picture,The Racket,The Caddo Company,0
1929,Cinematography,Sunrise,Charles Rosher,1
1929,Cinematography,Sunrise,Karl Struss,1
1929,Cinematography,Sadie Thompson,George Barnes,0
1929,Cinematography,The Devil Dancer,George Barnes,0
1929,Cinematography,The Magic Flame,George Barnes,0
1929,Directing,7th Heaven,Frank Borzage,1
1929,Directing,Two Arabian Knights,Lewis Milestone,1
1929,Directing,Sorrell and Son,Herbert Brenon,0
1929,Directing,Speedy,Ted Wilde,0
1929,Directing,The Crowd,King Vidor,0
1929,Special Award,The Circus,NA,1
1929,Special Award,The Jazz Singer,NA,1
1929,Visual Effects,Wings,Roy Pomeroy,1
1929,Visual Effects,NA,Ralph Hammeras,0
1929,Visual Effects,NA,Nugent Slaughter,0
1929,Writing,NA,Joseph Farnham,1
1929,Writing,NA,"George Marion, Jr.",0
1929,Writing,The Private Life of Helen of Troy,Gerald Duffy,0
1929,Writing (Adapted Screenplay),7th Heaven,Benjamin Glazer,1
1929,Writing (Adapted Screenplay),Glorious Betsy,Anthony Coldeway,0
1929,Writing (Adapted Screenplay),The Jazz Singer,Alfred Cohn,0
1929,Writing (Original Screenplay),Underworld,Ben Hecht,1
1929,Writing (Original Screenplay),The Last Command,Lajos Biro,0
1930,Actor in a Leading Role,In Old Arizona,Warner Baxter,1
1930,Actor in a Leading Role,Alibi,Chester Morris,0
1930,Actor in a Leading Role,The Patriot,Lewis Stone,0
1930,Actor in a Leading Role,The Valiant,Paul Muni,0
1930,Actor in a Leading Role,Thunderbolt,George Bancroft,0
1930,Actress in a Leading Role,Coquette,Mary Pickford,1
1930,Actress in a Leading Role,Madame X,Ruth Chatterton,0
1930,Actress in a Leading Role,The Barker,Betty Compson,0
1930,Actress in a Leading Role,The Broadway Melody,Bessie Love,0
1930,Actress in a Leading Role,The Divine Lady,Corinne Griffith,0
1930,Actress in a Leading Role,The Letter,Jeanne Eagels,0
1930,Art Direction,The Bridge of San Luis Rey,Cedric Gibbons,1
1930,Art Direction,Alibi,William Cameron Menzies,0
1930,Art Direction,Dynamite,Mitchell Leisen,0
1930,Art Direction,Street Angel,Harry Oliver,0
1930,Art Direction,The Awakening,William Cameron Menzies,0
1930,Art Direction,The Patriot,Hans Dreier,0
1930,Best Picture,The Broadway Melody,Metro-Goldwyn-Mayer,1
1930,Best Picture,Alibi,Feature Productions,0
1930,Best Picture,Hollywood Revue,Metro-Goldwyn-Mayer,0
1930,Best Picture,In Old Arizona,Fox,0
1930,Best Picture,The Patriot,Paramount Famous Lasky,0
1930,Cinematography,White Shadows in the South Seas,Clyde De Vinna,1
1930,Cinematography,Four Devils,Ernest Palmer,0
1930,Cinematography,In Old Arizona,Arthur Edeson,0
1930,Cinematography,Our Dancing Daughters,George Barnes,0
1930,Cinematography,Street Angel,Ernest Palmer,0
1930,Cinematography,The Divine Lady,John Seitz,0
1930,Directing,The Divine Lady,Frank Lloyd,1
1930,Directing,Drag,Frank Lloyd,0
1930,Directing,In Old Arizona,Irving Cummings,0
1930,Directing,Madame X,Lionel Barrymore,0
1930,Directing,The Broadway Melody,Harry Beaumont,0
1930,Directing,The Patriot,Ernst Lubitsch,0
1930,Directing,Weary River,Frank Lloyd,0
1930,Writing,The Patriot,Hans Kraly,1
1930,Writing,A Woman of Affairs,Bess Meredyth,0
1930,Writing,In Old Arizona,Tom Barry,0
1930,Writing,Our Dancing Daughters,Josephine Lovett,0
1930,Writing,Sal of Singapore,Elliott Clawson,0
1930,Writing,Skyscraper,Elliott Clawson,0
1930,Writing,The Cop,Elliott Clawson,0
1930,Writing,The Last of Mrs. Cheyney,Hans Kraly,0
1930,Writing,The Leatherneck,Elliott Clawson,0
1930,Writing,The Valiant,Tom Barry,0
1930,Writing,Wonder of Women,Bess Meredyth,0
1931,Actor in a Leading Role,Disraeli,George Arliss,1
1931,Actor in a Leading Role,Bulldog Drummond,Ronald Colman,0
1931,Actor in a Leading Role,Condemned,Ronald Colman,0
1931,Actor in a Leading Role,The Big House,Wallace Beery,0
1931,Actor in a Leading Role,The Big Pond,Maurice Chevalier,0
1931,Actor in a Leading Role,The Green Goddess,George Arliss,0
1931,Actor in a Leading Role,The Love Parade,Maurice Chevalier,0
1931,Actor in a Leading Role,The Rogue Song,Lawrence Tibbett,0
1931,Actress in a Leading Role,The Divorcee,Norma Shearer,1
1931,Actress in a Leading Role,Anna Christie,Greta Garbo,0
1931,Actress in a Leading Role,Romance,Greta Garbo,0
1931,Actress in a Leading Role,Sarah and Son,Ruth Chatterton,0
1931,Actress in a Leading Role,The Devil's Holiday,Nancy Carroll,0
1931,Actress in a Leading Role,The Trespasser,Gloria Swanson,0
1931,Actress in a Leading Role,Their Own Desire,Norma Shearer,0
1931,Art Direction,King of Jazz,Herman Rosse,1
1931,Art Direction,Bulldog Drummond,(William Cameron Menzies),0
1931,Art Direction,Sally,(Jack Okey),0
1931,Art Direction,The Love Parade,(Hans Dreier),0
1931,Art Direction,The Vagabond King,(Hans Dreier),0
1931,Best Picture,All Quiet on the Western Front,Universal,1
1931,Best Picture,Disraeli,Warner Bros.,0
1931,Best Picture,The Big House,Cosmopolitan,0
1931,Best Picture,The Divorcee,Metro-Goldwyn-Mayer,0
1931,Best Picture,The Love Parade,Paramount Famous Lasky,0
1931,Cinematography,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer",1
1931,Cinematography,All Quiet on the Western Front,(Arthur Edeson),0
1931,Cinematography,Anna Christie,(William Daniels),0
1931,Cinematography,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)",0
1931,Cinematography,The Love Parade,(Victor Milner),0
1931,Directing,All Quiet on the Western Front,Lewis Milestone,1
1931,Directing,Anna Christie,Clarence Brown,0
1931,Directing,Hallelujah,King Vidor,0
1931,Directing,Romance,Clarence Brown,0
1931,Directing,The Divorcee,Robert Leonard,0
1931,Directing,The Love Parade,Ernst Lubitsch,0
1931,Sound,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1
